0.0051877312362194 0.980000 1.000000	0.980000 1.000000 0.461965
0.0073365531861782 0.980000 2.000000	0.980000 2.000000 0.653317
0.0089854113757610 0.980000 3.000000	0.980000 3.000000 0.800146
0.0103753395378590 0.980000 4.000000	0.980000 4.000000 0.923930
0.0115999840199947 0.980000 5.000000	0.980000 5.000000 1.032985
0.0127071477472782 0.980000 6.000000	0.980000 6.000000 1.131578
0.0137252844870090 0.980000 7.000000	0.980000 7.000000 1.222244
0.0146729461848736 0.980000 8.000000	0.980000 8.000000 1.306634
0.0155630148947239 0.980000 9.000000	0.980000 9.000000 1.385894
0.0164048559963703 0.980000 10.000000	0.980000 10.000000 1.460861
	
